index,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0,winter,1,0,6,0,mist,8.175849,7.999250,80.5833,10.749882,985
1,winter,1,0,0,0,mist,9.083466,7.346774,69.6087,16.652113,801
2,winter,1,0,1,1,clear,1.229108,3.499270,43.7273,16.636703,1349
3,winter,1,0,2,1,clear,1.400000,1.999948,59.0435,10.739832,1562
4,winter,1,0,3,1,clear,2.666979,0.868180,43.6957,12.522300,1600
5,winter,1,0,4,1,clear,1.604356,0.608206,51.8261,6.000868,1606
6,winter,1,0,5,1,mist,1.236534,2.216626,49.8696,11.304642,1510
7,winter,1,0,6,0,mist,245000,5.291236,53.5833,17.875868,959
8,winter,1,0,0,0,clear,498349,8.332450,43.4167,24.250650,822
9,winter,1,0,1,1,clear,910849,6.041392,48.2917,14.958889,1321
10,winter,1,0,2,1,mist,052723,3.363376,68.6364,8.182844,1263
11,winter,1,0,3,1,clear,0.118169,5.408782,59.9545,20.410009,1162
12,winter,1,0,4,1,clear,245000,6.041722,47.0417,20.167000,1406
13,winter,1,0,5,1,clear,439110,3.564742,53.7826,8.478716,1421
14,winter,1,0,6,0,mist,2.966651,0.375392,49.8750,10.583521,1248
15,winter,1,0,0,0,clear,2.888349,0.541678,48.3750,12.625011,1204
16,winter,1,1,1,0,mist,0.264151,4.333114,53.7500,12.999139,1000
17,winter,1,0,2,1,mist,2.183349,0.666022,86.1667,9.833925,683
18,winter,1,0,3,1,mist,5.732178,3.695852,74.1739,13.957239,1650
19,winter,1,0,4,1,mist,4.298349,0.833300,53.8333,13.125568,1927
20,winter,1,0,5,1,clear,0.342500,5.583022,45.7083,23.667214,1543
21,winter,1,0,6,0,clear,220871,10.781406,40.0000,11.521990,981
22,winter,1,0,0,0,clear,463480,9.476619,43.6522,16.522200,986
23,winter,1,0,1,1,clear,422609,8.216620,49.1739,10.608110,1416
24,winter,1,0,2,1,mist,2.503466,0.521284,61.6957,8.696332,1985
25,winter,1,0,3,1,light precip,2.222500,2.562400,86.2500,19.687950,506
26,winter,1,0,4,1,clear,1.165000,1.499800,68.7500,7.627079,431
27,winter,1,0,5,1,mist,1.563466,1.261078,79.3043,8.261100,1167
28,winter,1,0,6,0,clear,1.236534,1.999684,65.1739,9.739455,1098
29,winter,1,0,0,0,clear,2.176534,0.521252,72.2174,4.956834,1096
30,winter,1,0,1,1,mist,0.499151,3.707500,60.3750,12.541864,1501
31,winter,2,0,2,1,mist,1.032178,0.521020,82.9565,3.565271,1360
32,winter,2,0,3,1,mist,4.220000,0.791522,77.5417,17.708636,1526
33,winter,2,0,4,1,clear,0.786979,4.260052,43.7826,18.609384,1550
34,winter,2,0,5,1,mist,1.931288,0.913258,58.5217,8.565213,1708
35,winter,2,0,6,0,mist,2.966651,0.041828,92.9167,10.792293,1005
36,winter,2,0,0,0,clear,5.434151,3.250286,56.8333,9.500600,1623
37,winter,2,0,1,1,clear,4.768349,4.041428,73.8333,3.042356,1712
38,winter,2,0,2,1,clear,2.379151,2.915764,53.7917,24.250650,1530
39,winter,2,0,3,1,mist,665199,6.477322,49.4783,12.652213,1605
40,winter,2,0,4,1,clear,215644,6.129832,43.7391,14.869645,1538
41,winter,2,0,5,1,clear,0.887277,1.908406,50.6364,7.272850,1746
42,winter,2,0,6,0,clear,2.457500,0.625036,54.4167,13.625589,1472
43,winter,2,0,0,0,clear,6.876534,5.391458,45.7391,17.479161,1589
44,winter,2,0,1,1,clear,11.505000,10.291100,37.5833,27.999836,1913
45,winter,2,0,2,1,clear,4.506089,0.782084,31.4348,19.522058,1815
46,winter,2,0,3,1,clear,6.958267,4.869200,42.3478,16.869997,2115
47,winter,2,0,4,1,clear,12.484151,12.291428,50.5000,15.416968,2475
48,winter,2,0,5,1,clear,16.518349,17.790878,51.6667,17.749975,2927
49,winter,2,0,6,0,clear,10.760849,9.832664,18.7917,34.000021,1635
50,winter,2,0,0,0,clear,5.405199,2.303780,40.7826,14.956745,1812
51,winter,2,1,1,0,mist,6.256651,2.748950,60.5000,20.625682,1107
52,winter,2,0,2,1,clear,0.564434,3.721822,57.7778,13.110761,1450
53,winter,2,0,3,1,clear,2.421733,0.217322,42.3043,6.305571,1917
54,winter,2,0,4,1,mist,5.895644,3.086606,69.7391,16.783232,1807
55,winter,2,0,5,1,mist,9.124356,7.130426,71.2174,23.218113,1461
56,winter,2,0,6,0,clear,5.277500,2.624672,53.7917,12.500257,1969
57,winter,2,0,0,0,clear,8.143466,7.173194,68.0000,8.391616,2402
58,winter,2,0,1,1,mist,11.141831,10.407788,87.6364,19.408962,1446
59,winter,3,0,2,1,clear,4.533349,1.416014,53.5000,14.500475,1851
60,winter,3,0,3,1,clear,7.745000,5.124686,44.9583,20.624811,2134
61,winter,3,0,4,1,clear,1.321651,2.791222,31.8333,15.125518,1685
62,winter,3,0,5,1,mist,4.298349,0.874814,61.0417,13.624182,1944
63,winter,3,0,6,0,mist,10.055849,8.999414,78.9167,16.875357,2077
64,winter,3,0,0,0,mist,9.696534,8.172632,94.8261,23.000229,605
65,winter,3,0,1,1,clear,4.301733,0.261574,55.1304,22.870584,1872
66,winter,3,0,2,1,clear,5.747500,3.958400,42.0833,8.083550,2133
67,winter,3,0,3,1,mist,5.904151,2.916128,77.5417,14.750050,1891
68,winter,3,0,4,1,light precip,10.287277,9.454088,0.0000,17.545759,623
69,winter,3,0,5,1,mist,6.876534,4.130000,64.9565,15.608990,1977
70,winter,3,0,6,0,clear,7.470849,5.499500,59.4583,14.791925,2132
71,winter,3,0,0,0,clear,10.064356,9.086006,52.7391,18.130468,2417
72,winter,3,0,1,1,clear,7.285199,5.912000,49.6957,9.174042,2046
73,winter,3,0,2,1,mist,6.917377,4.999748,65.5652,12.348703,2056
74,winter,3,0,3,1,mist,9.165199,8.217380,77.6522,13.608839,2192
75,winter,3,0,4,1,clear,11.505000,11.081978,60.2917,14.041793,2744
76,winter,3,0,5,1,clear,17.380000,18.782594,52.5217,15.478139,3239
77,winter,3,0,6,0,clear,14.207500,14.790650,37.9167,24.667189,3117
78,winter,3,0,0,0,clear,7.627500,5.499500,47.3750,13.917307,2471
79,spring,3,0,1,1,mist,12.230445,11.042510,73.7391,19.348461,2077
80,spring,3,0,2,1,clear,12.758349,13.082372,62.4583,15.125250,2703
81,spring,3,0,3,1,mist,8.306979,6.303974,83.9565,15.695487,2121
82,spring,3,0,4,1,mist,5.395000,1.874978,80.5833,16.333729,1865
83,spring,3,0,5,1,clear,4.415849,0.916592,49.5000,15.458575,2210
84,spring,3,0,6,0,clear,4.494151,0.999686,39.4167,14.041257,2496
85,spring,3,0,0,0,mist,3.893021,0.522374,49.3913,12.348100,1693
86,spring,3,0,1,1,clear,4.424356,0.999884,30.2174,14.217668,2028
87,spring,3,0,2,1,clear,6.217500,3.331928,31.4167,15.208732,2425
88,spring,3,0,3,1,mist,6.100000,3.625100,64.6667,11.583496,1536
89,spring,3,0,4,1,light precip,4.611651,0.999950,91.8333,14.582282,1685
90,spring,4,0,5,1,mist,6.100000,2.707964,68.6250,17.333436,2227
91,spring,4,0,6,0,mist,6.805000,4.832042,65.3750,13.208782,2252
92,spring,4,0,0,0,clear,9.781651,8.998622,48.0000,12.208271,3249
93,spring,4,0,1,1,clear,18.946651,19.833314,42.6250,25.833257,3115
94,spring,4,0,2,1,mist,11.465849,10.291100,64.2083,26.000489,1795
95,spring,4,0,3,1,clear,10.369151,9.582128,47.0833,17.625221,2808
96,spring,4,0,4,1,clear,12.562500,12.623936,60.2917,10.874904,3141
97,spring,4,0,5,1,mist,7.784151,5.415614,83.6250,15.208464,1471
98,spring,4,0,6,0,mist,8.097500,6.540914,87.7500,8.916561,2455
99,spring,4,0,0,0,mist,12.053349,12.164642,85.7500,9.833389,2895
100,spring,4,0,1,1,mist,19.995644,21.304322,71.6956,21.739758,3348
101,spring,4,0,2,1,mist,15.617500,16.541564,73.9167,18.416893,2034
102,spring,4,0,3,1,mist,11.387500,11.540678,81.9167,16.791339,2162
103,spring,4,0,4,1,clear,13.972500,14.540972,54.0417,7.416900,3267
104,spring,4,1,5,0,clear,12.993349,13.166258,67.1250,15.167125,3126
105,spring,4,0,6,0,light precip,12.249151,12.082472,88.8333,22.834136,795
106,spring,4,0,0,0,clear,13.463349,13.415936,47.9583,20.334232,3744
107,spring,4,0,1,1,clear,16.087500,17.207636,54.2500,10.958989,3429
108,spring,4,0,2,1,mist,15.774151,16.291028,66.5833,10.584057,3204
109,spring,4,0,3,1,clear,19.965000,21.249872,61.4167,16.208975,3944
110,spring,4,0,4,1,clear,13.580849,13.956872,40.7083,21.792286,4189
111,spring,4,0,5,1,mist,7.823349,5.248964,72.9583,14.707907,1683
112,spring,4,0,6,0,mist,13.620000,13.707986,88.7917,15.458575,4036
113,spring,4,0,0,0,mist,19.338349,20.416358,81.0833,12.875725,4191
114,spring,4,0,1,1,clear,20.513349,21.917000,77.6667,12.417311,4073
115,spring,4,0,2,1,clear,21.688349,23.209478,72.9167,21.875500,4400
116,spring,4,0,3,1,mist,21.140000,21.959372,83.5417,20.917400,3872
117,spring,4,0,4,1,mist,21.022500,22.209314,70.0833,21.500836,4058
118,spring,4,0,5,1,clear,15.970000,16.832558,45.7083,16.084221,4595
119,spring,4,0,6,0,clear,14.207500,14.625386,50.3333,15.750025,5312
120,spring,5,0,0,0,mist,13.228349,13.581464,76.2083,7.125718,3351
121,spring,5,0,1,1,mist,17.810849,19.166978,73.0000,12.291418,4401
122,spring,5,0,2,1,mist,20.983349,22.417214,69.7083,22.958689,4451
123,spring,5,0,3,1,mist,11.465849,10.706900,73.7083,22.042732,2633
124,spring,5,0,4,1,clear,13.580849,13.166522,44.4167,19.791264,4433
125,spring,5,0,5,1,clear,14.520849,15.291722,59.0000,15.292482,4608
126,spring,5,0,6,0,clear,16.440000,17.832986,54.1250,10.750150,4714
127,spring,5,0,0,0,clear,16.831651,18.249578,63.1667,5.000712,4333
128,spring,5,0,1,1,clear,17.027500,18.666236,58.8750,11.792000,4362
129,spring,5,0,2,1,clear,17.027500,18.499586,48.9167,7.749957,4803
130,spring,5,0,3,1,clear,17.497500,18.874400,63.2917,8.083014,4182
131,spring,5,0,4,1,clear,17.145000,18.541958,74.7500,12.707689,4864
132,spring,5,0,5,1,mist,16.087500,16.623800,86.3333,12.041575,4105
133,spring,5,0,6,0,mist,16.479151,17.041514,92.2500,9.041650,3409
134,spring,5,0,0,0,mist,18.437500,19.376000,86.7083,10.249593,4553
