index,price,type,sqfeet,beds,baths,lat,long
0,615,apartment,364,0,1.0,35.1653,-101.884
1,1346,apartment,816,1,1.0,32.9865,-96.686
2,900,apartment,500,1,1.0,30.2355,-97.7292
3,650,apartment,700,1,1.0,26.1923,-98.2657
4,1330,apartment,1040,2,2.0,30.638,-96.294
5,915,apartment,620,1,1.0,29.8754,-97.9404
6,1600,house,1578,3,2.0,32.6412,-97.1058
7,349,apartment,275,0,1.0,33.5865,-101.861
8,695,house,650,1,1.0,31.5525,-97.1604
9,889,apartment,650,1,1.5,29.8754,-97.9404
10,850,apartment,774,1,1.0,27.699,-97.3628
11,945,apartment,1195,2,2.0,33.8712,-98.5127
12,1570,apartment,1106,2,0.0,32.9322,-96.8353
13,2183,apartment,1260,2,2.0,32.0363,-102.08
14,1299,apartment,1568,4,2.0,32.419000000000004,-95.2106
15,850,apartment,680,1,1.0,31.0917,-97.3648
16,915,apartment,965,2,2.0,29.5613,-97.9628
17,1950,house,2306,4,2.0,29.5863,-98.4769
18,976,apartment,673,1,1.0,30.5145,-97.668
19,715,apartment,933,2,2.0,29.8986,-97.9606
20,1130,apartment,900,2,2.0,30.4048,-97.7533
21,735,apartment,750,1,1.0,30.1175,-94.1903
22,1219,apartment,1052,2,2.0,27.5667,-99.4994
23,1410,apartment,1074,2,2.0,33.1499,-96.8241
24,995,apartment,804,1,1.0,32.6618,-96.914
25,615,apartment,364,0,1.0,35.1653,-101.884
26,955,apartment,975,2,2.0,33.5225,-101.9
27,779,apartment,766,2,1.0,30.619,-96.3185
28,769,apartment,900,2,1.0,30.7061,-95.5495
29,499,apartment,655,1,1.0,29.8754,-97.9404
30,913,apartment,812,1,1.0,32.299,-95.2322
31,950,house,1370,4,2.0,26.2937,-98.3008
32,810,apartment,660,1,1.0,29.5144,-98.5971
33,799,apartment,800,2,2.0,31.535,-97.1899
34,615,apartment,364,0,1.0,35.1653,-101.884
35,800,apartment,725,2,1.5,33.9519,-98.5145
36,819,apartment,702,1,1.0,29.8754,-97.9404
37,1200,house,1179,3,2.0,34.9772,-101.925
38,715,apartment,848,2,1.0,31.116,-97.6847
39,685,apartment,619,1,1.0,26.1951,-97.689
40,875,duplex,1200,3,2.0,26.2986,-98.1841
41,1095,apartment,1177,3,2.0,29.5395,-98.4194
42,650,townhouse,1178,2,1.5,31.1252,-97.6974
43,699,apartment,769,1,1.0,33.5434,-101.934
44,475,apartment,525,1,1.0,31.1223,-97.7185
45,1850,apartment,847,1,1.0,30.3225,-97.7107
46,509,apartment,700,2,2.0,34.9829,-101.902
47,875,apartment,663,1,1.0,27.7396,-97.3677
48,509,apartment,700,2,2.0,34.9829,-101.902
49,699,apartment,612,1,1.0,33.5434,-101.934
50,1815,apartment,1293,3,2.0,29.8634,-98.0037
51,1000,apartment,1073,2,2.0,33.5924,-101.937
52,995,apartment,792,2,1.0,33.2479,-97.1376
53,975,apartment,820,2,1.0,31.0376,-97.6809
54,814,flat,709,2,1.0,30.7028,-95.542
55,1050,apartment,642,1,1.0,30.4224,-97.7967
56,799,apartment,300,1,1.0,35.1898,-101.934
57,1099,apartment,967,2,2.0,29.5484,-98.5186
58,1487,apartment,987,2,2.0,31.9077,-102.283
59,550,house,935,2,2.0,31.5525,-97.1396
60,695,apartment,650,1,1.0,29.5419,-98.4145
61,620,house,665,2,1.0,31.7652,-102.354
62,945,apartment,950,2,2.0,27.8458,-97.596
63,1040,apartment,718,1,1.0,30.4254,-97.7195
64,950,apartment,1030,2,2.0,32.7484,-97.2163
65,1040,apartment,1195,2,2.0,33.8712,-98.5127
66,1451,apartment,1250,3,2.0,30.3649,-97.6827
67,749,apartment,759,2,1.0,32.4239,-99.7961
68,853,apartment,738,1,1.0,29.9766,-95.6358
69,559,apartment,1025,2,2.0,30.6122,-96.3175
70,650,apartment,700,1,1.0,26.1923,-98.2657
71,1000,house,1034,3,2.0,25.9611,-97.5316
72,1810,condo,1390,3,2.0,32.0065,-102.125
73,845,apartment,1000,2,2.0,33.8894,-98.5119
74,615,apartment,665,1,1.0,35.1876,-101.904
75,1132,apartment,665,1,1.0,29.2971,-94.8002
76,1000,house,1999,3,2.0,30.5118,-96.3171
77,525,apartment,490,3,1.0,29.3641,-98.4924
78,1473,apartment,669,1,0.0,31.8816,-102.013
79,745,apartment,933,2,2.0,29.8986,-97.9606
80,950,apartment,720,1,1.0,32.0395,-102.107
81,1575,apartment,1431,3,3.0,30.6582,-96.3351
82,995,apartment,659,1,1.0,30.2166,-97.8508
83,1050,duplex,1320,2,2.0,32.3209,-95.2545
84,1010,apartment,881,2,2.0,32.8606,-96.6196
85,885,apartment,1023,2,2.0,33.5924,-101.937
86,995,apartment,817,2,1.0,27.6758,-97.3475
87,1050,apartment,1005,2,2.0,32.392,-99.7746
88,945,apartment,890,2,2.0,27.6758,-97.3475
89,1500,apartment,811,1,1.0,30.2875,-97.7266
90,615,apartment,364,0,1.0,35.1653,-101.884
91,925,apartment,925,2,2.0,27.677,-97.365
92,1150,apartment,1430,3,3.0,27.5569,-99.4907
93,925,apartment,724,1,1.0,30.14,-94.1604
94,1535,apartment,617,1,0.0,31.8816,-102.013
95,1146,apartment,966,2,2.0,32.2947,-95.2788
96,1040,apartment,400,0,1.0,30.2504,-97.7734
97,975,apartment,980,2,2.0,29.8754,-97.9404
98,655,apartment,751,1,1.0,31.5346,-97.1634
99,595,apartment,995,1,1.5,26.1734,-97.6783
100,895,apartment,688,1,1.0,27.7391,-97.3679
101,800,apartment,725,2,1.5,33.9519,-98.5145
102,800,apartment,725,2,1.5,33.9519,-98.5145
103,1035,apartment,852,2,1.0,29.8003,-95.4351
104,730,apartment,750,1,1.0,30.1175,-94.1903
105,990,apartment,820,1,1.5,29.8754,-97.9404
106,1225,apartment,1065,2,2.0,29.7089,-98.1133
107,2050,townhouse,1700,3,3.5,30.5835,-97.8575
108,995,apartment,817,2,1.0,27.6758,-97.3475
109,869,apartment,691,1,1.0,30.0931,-94.1899
110,775,townhouse,1150,2,1.5,30.651,-96.3387
111,1585,apartment,737,1,1.0,32.0295,-102.091
112,1090,apartment,1046,2,2.0,29.7055,-98.4191
113,615,apartment,522,1,1.0,31.8552,-106.435
114,409,apartment,1125,4,2.0,34.9829,-101.902
115,1313,apartment,680,1,1.0,31.9076,-102.283
116,1670,house,1400,3,2.0,30.1638,-97.7438
117,2355,apartment,1628,3,2.5,nan,nan
118,1640,apartment,1042,2,2.0,33.0277,-96.6777
119,659,apartment,600,1,1.0,30.619,-96.3185
120,1129,apartment,1047,2,1.5,29.7229,-98.0742
121,800,apartment,900,2,2.0,26.1923,-98.2657
122,700,apartment,750,2,1.0,29.3466,-98.5074
123,760,apartment,904,2,1.5,32.4563,-99.7638
124,700,apartment,960,2,1.0,31.9386,-106.407
125,235,apartment,300,1,1.0,35.1897,-101.934
126,1350,apartment,984,2,1.5,30.4488,-97.7917
127,1000,manufactured,1216,3,2.0,32.2768,-95.3031
128,675,apartment,650,1,1.0,33.9519,-98.5145
129,1150,apartment,955,2,2.0,30.6582,-96.3351
130,1039,apartment,904,2,1.5,30.2315,-97.7223
131,905,apartment,902,2,1.0,30.0948,-94.1648
132,1132,apartment,908,2,2.0,30.3649,-97.6827
133,992,apartment,396,0,1.0,30.235,-97.7896
134,902,apartment,700,1,1.0,29.573,-95.1064
135,2360,apartment,1047,2,2.0,30.2608,-97.8104
136,860,apartment,566,1,1.0,31.889,-102.355
137,1023,apartment,670,1,1.0,29.5719,-95.0371
138,875,apartment,950,2,2.0,29.3309,-98.5054
139,1863,apartment,1501,3,2.5,30.395,-97.8332
140,925,apartment,775,1,1.0,33.0051,-96.8438
141,1219,apartment,1052,2,2.0,27.5663,-99.4994
142,1425,apartment,1004,2,2.0,29.8634,-98.0037
143,795,apartment,652,1,1.0,27.6758,-97.3475
144,1325,apartment,1037,2,2.0,30.638,-96.294
145,670,apartment,650,2,1.0,31.7089,-106.329
146,1129,apartment,1047,2,1.5,29.7229,-98.0742
147,349,apartment,275,0,1.0,33.5865,-101.861
148,688,apartment,778,2,1.0,31.5789,-106.266
149,1100,house,2000,3,2.0,26.2044,-98.1537
150,875,apartment,847,1,1.0,29.9691,-95.5579
151,615,apartment,522,1,1.0,31.8552,-106.435
152,1015,apartment,1088,2,2.0,31.5175,-97.1547
153,1095,apartment,1370,3,3.0,33.607,-101.928
154,1015,apartment,862,2,2.0,29.8754,-97.9404
155,509,apartment,700,2,2.0,34.9829,-101.902
156,1400,apartment,1019,2,1.0,33.1951,-96.6642
157,1490,apartment,1323,2,2.0,32.9503,-96.819
158,934,apartment,751,1,1.0,28.809,-96.9993
159,615,apartment,364,0,1.0,35.1653,-101.884
160,850,apartment,645,1,1.0,29.8754,-97.9404
161,700,apartment,746,2,1.0,31.8552,-106.435
162,639,apartment,950,2,2.0,27.5304,-97.8825
163,1084,apartment,718,1,1.0,29.5234,-98.5273
164,775,apartment,584,1,1.0,33.8712,-98.5127
165,875,apartment,1090,2,2.0,32.4366,-99.79
166,475,apartment,545,0,1.0,26.1734,-97.6783
167,975,apartment,713,1,1.0,29.8754,-97.9404
168,1090,apartment,1401,3,2.0,33.8712,-98.5127
169,1244,apartment,1334,3,2.0,30.656,-96.2897
170,1320,apartment,950,2,1.0,30.4224,-97.7967
171,1004,apartment,673,1,0.0,30.4838,-97.6587
172,1003,apartment,561,1,1.0,31.5489,-97.1262
173,1019,apartment,714,1,1.0,29.4189,-98.6895
174,2089,apartment,1263,2,2.0,31.9235,-102.292
175,845,apartment,703,1,1.0,27.7103,-97.4092
176,1050,apartment,1472,3,2.0,29.5042,-98.5697
177,1349,house,2543,5,2.5,30.1413,-97.8496
178,2341,apartment,1056,2,2.0,32.0278,-102.155
179,845,apartment,699,1,1.0,30.14,-94.1604
180,1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
181,980,apartment,1159,3,2.0,32.3193,-95.3375
182,903,apartment,607,1,1.0,29.8754,-97.9404
183,619,apartment,616,1,1.0,30.6057,-96.3108
184,870,apartment,450,1,1.0,29.8754,-97.9404
185,1330,apartment,805,1,1.0,32.7817,-96.8059
186,900,apartment,483,1,1.0,31.8935,-102.347
187,847,apartment,800,2,1.0,35.2703,-101.943
188,1020,apartment,1040,2,2.0,29.573,-95.1064
189,1117,apartment,802,1,1.0,30.4343,-97.7318
190,795,duplex,900,2,1.0,30.583,-96.2914
191,860,apartment,1040,2,2.5,30.6189,-96.3154
192,1000,manufactured,1216,3,2.0,32.419000000000004,-95.2106
193,609,townhouse,1700,4,4.0,30.5896,-96.3318
194,2095,apartment,1409,3,2.0,32.7392,-97.3852
195,589,apartment,480,0,1.0,30.619,-96.3185
196,2399,apartment,1436,2,2.5,32.8038,-96.7851
197,670,apartment,650,2,1.0,31.7089,-106.329
198,914,apartment,757,1,1.0,29.5298,-95.0334
199,849,apartment,791,1,1.0,30.6045,-96.3123
200,950,apartment,1100,3,3.0,29.8754,-97.9404
201,1556,apartment,1150,3,2.0,29.8754,-97.9404
202,675,apartment,700,2,1.0,31.7089,-106.329
203,639,apartment,756,2,1.0,30.6371,-96.3773
204,619,apartment,900,2,1.0,30.6371,-96.3773
205,615,apartment,522,1,1.0,31.8552,-106.435
206,740,apartment,950,2,1.0,31.1008,-97.7459
207,972,apartment,931,2,1.0,30.0931,-94.1899
208,995,apartment,817,2,1.0,27.6758,-97.3475
209,819,apartment,830,2,1.0,30.6224,-96.3498
210,1233,apartment,961,3,2.0,35.2054,-101.9
211,799,apartment,648,1,1.0,29.5189,-98.6006
212,900,apartment,918,2,1.0,29.2635,-94.8344
213,1440,apartment,956,1,1.0,32.8595,-96.9762
214,1380,apartment,652,1,1.0,32.0295,-102.091
215,1265,house,1112,4,2.0,25.9929,-97.524
216,1125,apartment,879,2,2.0,29.263,-94.8371
217,349,apartment,275,0,1.0,33.5865,-101.861
218,830,apartment,650,1,1.0,29.7286,-95.5392
219,901,apartment,950,2,2.0,32.806999999999995,-96.6713
220,675,apartment,700,2,1.0,31.7089,-106.329
221,990,apartment,583,1,1.0,31.9721,-102.137
222,669,apartment,600,1,1.0,30.619,-96.3185
223,675,apartment,700,2,1.0,31.7089,-106.329
224,975,apartment,820,2,1.0,31.078000000000007,-97.7145
225,610,apartment,925,2,1.0,29.8932,-97.9398
226,880,apartment,958,2,2.0,31.535,-97.1899
227,649,apartment,653,1,1.0,29.5237,-98.505
228,740,apartment,979,3,1.0,35.2779,-101.83
229,1053,apartment,874,1,1.0,30.1876,-97.7472
230,1271,apartment,698,1,1.0,33.0752,-96.7843
231,675,apartment,584,1,1.0,33.8712,-98.5127
232,1760,duplex,1481,2,2.0,32.0124,-102.124
233,769,apartment,992,2,2.0,30.7185,-95.5684
234,799,apartment,300,1,1.0,35.1899,-101.934
235,800,apartment,725,2,1.5,33.9519,-98.5145
236,1650,house,2400,7,4.5,26.271,-98.2604
237,900,apartment,1450,3,2.0,25.8998,-97.5082
238,995,apartment,845,2,1.0,30.3649,-97.6827
239,1395,apartment,698,1,0.0,32.8681,-96.8622
240,950,manufactured,1178,3,2.0,35.2766,-101.82
241,615,apartment,522,1,1.0,31.8552,-106.435
242,1063,apartment,985,2,2.0,29.5612,-98.6117
243,2209,apartment,1260,2,2.0,32.0362,-102.081
244,869,apartment,691,1,1.0,30.0931,-94.1899
245,699,apartment,880,2,2.0,30.6057,-96.3108
246,914,apartment,757,1,1.0,29.5298,-95.0334
247,1206,apartment,899,1,1.0,30.2444,-97.916
248,1785,apartment,833,1,1.0,32.0199,-102.148
249,715,apartment,456,1,1.0,31.6403,-97.0963
250,509,apartment,700,2,2.0,34.9829,-101.902
251,850,house,1350,3,1.0,31.7512,-94.6042
252,800,apartment,900,2,2.0,26.1923,-98.2657
253,750,apartment,725,2,1.5,33.9519,-98.5145
254,1195,house,1600,4,2.0,31.2029,-97.9301
255,1219,apartment,1052,2,2.0,27.5663,-99.4994
256,1209,house,2356,4,2.5,30.0413,-97.8427
257,1500,apartment,1147,2,2.0,30.2063,-97.7956
258,765,apartment,637,1,1.0,27.7103,-97.4092
259,975,apartment,1200,3,2.0,32.2336,-95.2642
260,800,apartment,900,2,2.0,26.1923,-98.2657
261,709,apartment,814,2,1.0,30.7028,-95.542
262,1197,apartment,1051,2,2.0,29.5298,-95.0334
263,1025,apartment,1000,2,2.0,27.6868,-97.3262
264,1299,manufactured,1568,4,2.0,32.419000000000004,-95.2106
265,650,apartment,860,2,1.0,35.1653,-101.884
266,779,apartment,827,2,1.5,30.6045,-96.3123
