id,school,address,absences,Mjob,Fjob,G3
0,GP,U,6,at_home,teacher,6
1,GP,U,4,at_home,other,6
2,GP,U,10,at_home,other,10
3,GP,U,2,health,services,15
4,GP,U,4,other,other,10
5,GP,U,10,services,other,15
6,GP,U,0,other,other,11
7,GP,U,6,other,teacher,6
8,GP,U,0,services,other,19
9,GP,U,0,other,other,15
10,GP,U,0,teacher,health,9
11,GP,U,4,services,other,12
12,GP,U,2,health,services,14
13,GP,U,2,teacher,other,11
14,GP,U,0,other,other,16
15,GP,U,4,health,other,14
16,GP,U,6,services,services,14
17,GP,U,4,other,other,10
18,GP,U,16,services,services,5
19,GP,U,4,health,other,10
20,GP,U,0,teacher,other,15
21,GP,U,0,health,health,15
22,GP,U,2,teacher,other,16
23,GP,U,0,other,other,12
24,GP,R,2,services,health,8
25,GP,U,14,services,services,8
26,GP,U,2,other,other,11
27,GP,U,4,health,services,15
28,GP,U,4,services,other,11
29,GP,U,16,teacher,teacher,11
30,GP,U,0,health,services,12
31,GP,U,0,services,services,17
32,GP,R,0,teacher,at_home,16
33,GP,U,0,other,other,12
34,GP,U,0,other,other,15
35,GP,U,0,other,other,6
36,GP,U,2,teacher,services,18
37,GP,R,7,other,teacher,15
38,GP,R,2,services,health,11
39,GP,R,8,at_home,other,13
40,GP,U,25,other,other,11
41,GP,U,8,teacher,other,12
42,GP,U,2,services,teacher,18
43,GP,U,0,services,services,11
44,GP,U,14,other,at_home,9
45,GP,U,8,other,other,6
46,GP,U,12,other,services,11
47,GP,U,4,health,services,20
48,GP,U,2,teacher,other,14
49,GP,U,2,services,teacher,7
50,GP,U,2,services,services,13
51,GP,U,2,health,other,13
52,GP,U,6,health,health,10
53,GP,U,0,services,services,11
54,GP,U,6,other,other,13
55,GP,U,8,other,other,10
56,GP,U,0,services,services,15
57,GP,U,4,teacher,health,15
58,GP,U,2,other,at_home,9
59,GP,U,2,services,other,16
60,GP,R,6,health,teacher,11
61,GP,U,6,services,services,11
62,GP,U,4,other,services,9
63,GP,U,2,teacher,health,9
64,GP,U,0,services,services,10
65,GP,U,2,teacher,services,15
66,GP,U,4,other,services,12
67,GP,U,4,services,other,6
68,GP,R,2,health,services,8
69,GP,R,12,other,other,16
70,GP,U,0,other,other,15
71,GP,U,0,other,other,10
72,GP,R,2,other,other,5
73,GP,U,2,other,other,14
74,GP,U,54,other,services,11
75,GP,U,6,teacher,other,10
76,GP,U,8,teacher,other,10
77,GP,U,0,other,other,11
78,GP,U,2,other,other,10
79,GP,U,12,at_home,other,5
80,GP,U,2,other,services,12
81,GP,U,4,other,other,11
82,GP,U,10,services,other,6
83,GP,U,4,services,services,15
84,GP,U,2,other,other,10
85,GP,U,6,services,services,8
86,GP,U,4,at_home,other,6
87,GP,U,4,other,other,14
88,GP,U,12,services,other,10
89,GP,U,18,teacher,health,7
90,GP,U,0,other,other,8
91,GP,U,4,services,other,18
92,GP,U,4,other,other,6
93,GP,U,0,teacher,services,10
94,GP,U,6,services,health,14
95,GP,R,2,at_home,other,10
96,GP,R,2,services,other,15
97,GP,U,2,other,other,10
98,GP,U,6,other,other,14
99,GP,U,0,other,at_home,8
100,GP,U,14,services,services,5
101,GP,U,0,services,teacher,17
102,GP,U,4,services,other,14
103,GP,U,26,services,other,6
104,GP,U,0,services,other,18
105,GP,U,10,other,health,11
106,GP,U,8,other,other,8
107,GP,U,2,services,other,18
108,GP,R,6,other,other,13
109,GP,U,4,health,health,16
110,GP,U,6,teacher,teacher,19
111,GP,R,0,services,other,10
112,GP,U,6,at_home,other,13
113,GP,U,10,teacher,other,19
114,GP,R,8,health,services,9
115,GP,U,2,teacher,teacher,16
116,GP,U,2,other,teacher,14
117,GP,U,0,other,services,13
118,GP,R,20,other,other,8
119,GP,U,6,other,other,13
120,GP,U,2,at_home,services,15
121,GP,U,6,services,services,15
122,GP,U,2,other,health,13
123,GP,U,18,health,other,13
124,GP,U,0,other,other,8
125,GP,U,0,services,services,12
126,GP,U,0,other,other,11
127,GP,U,2,at_home,other,9
128,GP,R,0,services,other,0
129,GP,R,8,teacher,teacher,18
130,GP,R,0,services,teacher,0
131,GP,U,0,at_home,other,0
132,GP,U,12,other,other,12
